"PRO_COM","stat"
"102038",1
"18042",1
"7037",1
"63037",1
"1125",1
"37032",1
"16086",1
"107009",1
"35024",1
"24076",1
"103031",1
"8028",1
"16014",1
"14018",1
"43056",1
"55024",1
"30129",1
"70083",1
"69057",1
"12109",1
"17125",1
"55023",1
"41067",1
"41066",1
"9043",1
"56040",1
"54056",1
"4155",1
"54024",1
"1176",1
"58104",1
"58039",1
"56052",1
"78149",1
"58106",1
"65149",1
"30121",1
"58105",1
"22207",1
"54052",1
"102044",1
"71058",1
"58107",1
"24110",1
"8061",1
"2148",1
"22192",1
"32006",1
"22205",1
"23088",1
"28094",1
"26086",1
"6175",1
"16219",1
"60080",1
"22206",1
"52036",1
"30125",1
"43054",1
"23087",1
"3149",1
"81021",1
"110009",1
"65151",1
"22203",1
"59014",1
"6174",1
"54053",1
"52035",1
"10062",1
"60079",1
"24107",1
"63084",1
"1272",1
"5109",1
"22200",1
"96068",1
"43053",1
"9061",1
"54041",1
"68042",1
"30046",1
"14066",1
"54013",1
"22199",1
"66100",1
"61044",1
"6120",1
"14065",1
"17185",1
"24105",1
"18110",1
"6173",1
"82070",1
"61091",1
"22186",1
"8059",1
"8042",1
"8060",1
"22193",1
"51039",1
"104017",1
"85007",1
"59032",1
"69088",1
"55032",1
"67041",1
"22188",1
"22189",1
"27040",1
"65146",1
"16210",1
"17183",1
"1271",1
"22187",1
"26084",1
"56050",1
"73027",1
"30116",1
"57067",1
"4225",1
"66099",1
"99027",1
"42048",1
"89017",1
"54048",1
"52034",1
"56049",1
"1270",1
"63080",1
"60076",1
"66098",1
"1262",1
"58103",1
"55031",1
"63081",1
"6168",1
"1269",1
"77027",1
"9058",1
"79142",1
"54051",1
"19102",1
"110008",1
"36045",1
"93044",1
"6165",1
"11015",1
"54050",1
"102041",1
"59027",1
"3140",1
"96063",1
"60074",1
"59029",1
"19097",1
"20063",1
"22175",1
"17179",1
"42045",1
"52033",1
"58102",1
"52032",1
"48043",1
"1266",1
"11028",1
"61088",1
"46028",1
"6160",1
"43051",1
"4218",1
"42047",1
"42046",1
"22170",1
"14059",1
"20061",1
"70075",1
"43050",1
"22171",1
"58093",1
"24100",1
"84041",1
"4217",1
"53023",1
"66093",1
"35040",1
"41059",1
"36040",1
"9056",1
"4215",1
"90064",1
"11027",1
"52031",1
"24098",1
"24097",1
"58101",1
"78136",1
"65133",1
"25050",1
"4213",1
"69085",1
"58099",1
"109036",1
"87047",1
"71028",1
"50035",1
"95047",1
"53022",1
"82066",1
"60068",1
"109037",1
"65129",1
"76080",1
"76079",1
"41057",1
"62071",1
"43016",1
"38021",1
"99026",1
"71052",1
"62070",1
"37056",1
"51034",1
"18138",1
"24091",1
"25051",1
"71051",1
"6154",1
"35038",1
"50032",1
"4210",1
"35037",1
"99025",1
"43031",1
"58095",1
"1244",1
"43046",1
"55029",1
"36037",1
"1243",1
"30099",1
"4207",1
"41051",1
"41007",1
"24096",1
"93041",1
"43047",1
"76078",1
"26074",1
"58096",1
"48030",1
"37055",1
"87043",1
"40041",1
"1247",1
"51033",1
"37053",1
"23070",1
"52029",1
"65119",1
"28075",1
"52028",1
"60019",1
"78114",1
"15191",1
"52027",1
"1236",1
"47018",1
"4203",1
"17170",1
"65116",1
"81018",1
"4199",1
"6151",1
"1232",1
"93037",1
"28065",1
"20054",1
"10051",1
"58092",1
"72037",1
"39016",1
"35035",1
"16183",1
"35036",1
"6149",1
"14056",1
"29041",1
"22161",1
"17166",1
"20051",1
"71044",1
"49017",1
"56045",1
"1223",1
"58091",1
"65109",1
"4187",1
"4189",1
"25044",1
"58089",1
"57061",1
"53020",1
"65106",1
"101018",1
"69074",1
"40036",1
"4181",1
"1219",1
"3112",1
"20050",1
"1217",1
"1216",1
"1214",1
"1215",1
"22153",1
"50027",1
"60058",1
"44063",1
"70059",1
"69072",1
"49015",1
"99014",1
"57059",1
"85015",1
"17161",1
"4180",1
"5089",1
"43044",1
"39014",1
"65104",1
"87038",1
"30087",1
"52025",1
"52024",1
"4179",1
"1097",1
"9052",1
"1078",1
"2107",1
"72020",1
"93032",1
"60055",1
"59019",1
"61065",1
"103057",1
"40033",1
"40032",1
"100005",1
"60048",1
"93034",1
"43043",1
"24080",1
"93033",1
"27029",1
"40008",1
"11022",1
"49014",1
"43042",1
"37049",1
"13189",1
"68033",1
"45014",1
"16171",1
"6133",1
"50029",1
"60056",1
"4172",1
"22144",1
"43041",1
"82058",1
"55027",1
"93031",1
"1197",1
"43023",1
"57055",1
"57052",1
"52022",1
"41049",1
"86014",1
"82057",1
"66072",1
"1196",1
"14050",1
"53019",1
"47014",1
"47012",1
"23059",1
"41044",1
"50026",1
"99024",1
"68027",1
"1191",1
"13178",1
"51030",1
"22140",1
"61059",1
"46024",1
"61058",1
"78098",1
"52021",1
"68030",1
"52020",1
"33032",1
"71027",1
"41013",1
"66071",1
"3116",1
"43036",1
"66070",1
"66068",1
"60049",1
"54039",1
"28061",1
"41043",1
"16024",1
"43035",1
"36030",1
"1181",1
"28060",1
"43015",1
"83066",1
"87033",1
"3114",1
"4160",1
"34027",1
"22132",1
"82053",1
"58075",1
"63052",1
"60046",1
"58074",1
"82052",1
"16156",1
"50024",1
"4158",1
"65087",1
"6115",1
"74012",1
"42036",1
"42035",1
"19064",1
"17127",1
"42034",1
"1173",1
"11020",1
"69058",1
"103051",1
"95038",1
"1172",1
"24075",1
"74011",1
"53018",1
"1171",1
"76056",1
"103050",1
"16145",1
"6118",1
"58073",1
"65082",1
"1170",1
"42033",1
"54035",1
"58059",1
"54034",1
"65078",1
"76055",1
"13075",1
"6114",1
"35028",1
"3106",1
"43013",1
"1169",1
"27026",1
"89013",1
"59016",1
"9042",1
"63050",1
"5080",1
"23052",1
"4151",1
"58072",1
"83060",1
"67031",1
"56039",1
"58070",1
"63049",1
"17117",1
"55022",1
"75052",1
"36023",1
"43033",1
"4105",1
"52019",1
"4146",1
"62044",1
"6110",1
"45012",1
"13153",1
"32003",1
"16142",1
"26049",1
"24069",1
"30059",1
"30063",1
"18102",1
"42031",1
"82049",1
"20036",1
"108033",1
"45011",1
"53017",1
"52018",1
"17113",1
"59015",1
"37043",1
"50020",1
"109022",1
"53027",1
"58065",1
"52016",1
"54027",1
"4130",1
"66056",1
"52015",1
"44045",1
"69054",1
"30061",1
"44044",1
"42027",1
"109020",1
"58063",1
"109018",1
"109017",1
"44038",1
"109015",1
"99008",1
"43029",1
"54030",1
"36024",1
"43028",1
"24061",1
"35027",1
"43026",1
"46021",1
"57040",1
"24060",1
"81008",1
"60044",1
"41029",1
"52014",1
"41028",1
"57039",1
"1161",1
"78081",1
"8036",1
"1160",1
"44032",1
"1158",1
"48027",1
"64051",1
"28056",1
"42019",1
"28055",1
"5069",1
"1156",1
"4125",1
"5065",1
"72030",1
"31012",1
"99006",1
"22121",1
"1155",1
"5066",1
"76050",1
"37039",1
"72029",1
"6095",1
"88006",1
"36022",1
"15146",1
"82047",1
"1152",1
"83048",1
"96032",1
"103044",1
"78011",1
"76048",1
"6092",1
"10033",1
"40019",1
"11001",1
"20034",1
"36021",1
"37037",1
"103028",1
"77014",1
"43024",1
"53015",1
"45010",1
"79074",1
"16133",1
"19057",1
"81011",1
"24057",1
"58057",1
"4118",1
"24056",1
"30056",1
"20030",1
"93025",1
"71029",1
"97046",1
"53013",1
"103041",1
"65066",1
"57035",1
"58052",1
"61048",1
"41023",1
"1142",1
"35026",1
"41022",1
"18083",1
"39012",1
"16128",1
"51021",1
"46017",1
"68021",1
"42022",1
"29030",1
"40018",1
"24052",1
"1135",1
"37034",1
"98031",1
"37033",1
"49009",1
"14037",1
"75035",1
"83041",1
"57033",1
"89011",1
"9033",1
"87021",1
"84021",1
"83039",1
"4104",1
"1132",1
"3084",1
"1133",1
"11017",1
"97042",1
"11016",1
"4107",1
"23044",1
"29029",1
"16006",1
"16124",1
"13120",1
"65061",1
"51019",1
"48024",1
"1128",1
"50016",1
"78063",1
"78064",1
"24049",1
"57002",1
"58009",1
"66049",1
"92009",1
"72022",1
"42021",1
"1115",1
"10025",1
"59010",1
"54002",1
"53012",1
"94023",1
"3082",1
"48022",1
"67004",1
"29001",1
"17081",1
"36017",1
"4101",1
"50015",1
"62037",1
"79061",1
"54022",1
"54023",1
"1120",1
"53011",1
"14033",1
"6084",1
"13112",1
"31009",1
"31008",1
"41020",1
"3076",1
"55014",1
"31007",1
"30043",1
"84001",1
"83033",1
"62036",1
"79058",1
"3073",1
"17078",1
"58043",1
"58042",1
"20025",1
"6081",1
"58041",1
"17077",1
"1112",1
"4095",1
"17075",1
"16108",1
"48020",1
"6078",1
"3068",1
"56027",1
"40014",1
"52013",1
"75028",1
"59009",1
"51018",1
"39011",1
"78058",1
"59007",1
"60039",1
"54018",1
"48019",1
"6075",1
"60038",1
"1109",1
"23011",1
"61037",1
"24041",1
"4089",1
"41015",1
"27016",1
"40013",1
"30026",1
"40012",1
"58038",1
"37026",1
"1106",1
"71024",1
"48017",1
"58036",1
"43017",1
"45007",1
"36014",1
"60035",1
"109006",1
"9029",1
"60034",1
"34014",1
"38008",1
"77008",1
"60033",1
"55012",1
"25021",1
"1102",1
"1101",1
"81009",1
"39010",1
"56026",1
"36011",1
"4068",1
"56021",1
"30036",1
"30037",1
"42017",1
"28037",1
"17070",1
"23032",1
"86009",1
"8029",1
"37025",1
"40011",1
"54017",1
"17067",1
"97030",1
"14026",1
"22072",1
"39009",1
"78045",1
"5046",1
"1098",1
"4078",1
"101010",1
"37024",1
"96021",1
"2049",1
"19036",1
"6063",1
"19035",1
"97028",1
"24036",1
"103024",1
"57026",1
"14024",1
"68016",1
"51017",1
"46002",1
"35020",1
"65048",1
"34012",1
"24034",1
"31002",1
"82034",1
"42015",1
"59006",1
"60030",1
"93018",1
"26022",1
"82033",1
"28034",1
"39008",1
"26021",1
"22066",1
"36010",1
"27011",1
"24033",1
"34011",1
"20020",1
"25015",1
"38006",1
"23027",1
"52012",1
"57021",1
"24032",1
"7021",1
"98019",1
"5042",1
"52011",1
"27008",1
"1077",1
"1082",1
"4067",1
"17052",1
"52009",1
"40009",1
"67017",1
"58032",1
"57016",1
"2043",1
"28032",1
"52008",1
"8021",1
"60025",1
"43012",1
"2042",1
"54009",1
"52010",1
"16072",1
"82027",1
"4066",1
"40007",1
"39007",1
"48012",1
"42013",1
"62023",1
"23025",1
"101006",1
"13063",1
"3049",1
"38004",1
"4061",1
"16060",1
"6044",1
"58026",1
"27006",1
"4059",1
"96016",1
"80025",1
"87015",1
"79023",1
"5020",1
"6053",1
"46009",1
"87014",1
"33014",1
"28019",1
"83016",1
"58024",1
"13058",1
"20015",1
"42010",1
"58022",1
"48010",1
"4047",1
"33012",1
"52001",1
"82025",1
"20017",1
"4057",1
"46010",1
"67013",1
"44012",1
"37022",1
"52007",1
"10013",1
"17043",1
"62019",1
"90023",1
"36007",1
"50011",1
"52006",1
"18040",1
"3043",1
"6050",1
"8014",1
"35014",1
"73003",1
"1066",1
"36006",1
"39006",1
"37020",1
"37019",1
"24027",1
"49006",1
"6043",1
"54007",1
"30019",1
"52004",1
"1063",1
"3041",1
"19021",1
"3037",1
"37012",1
"6039",1
"50006",1
"4044",1
"11010",1
"45003",1
"36005",1
"6033",1
"17039",1
"8013",1
"100002",1
"1059",1
"61017",1
"1058",1
"56016",1
"1056",1
"16053",1
"61015",1
"49005",1
"83008",1
"103017",1
"20008",1
"1052",1
"93009",1
"5017",1
"18027",1
"46006",1
"36003",1
"10008",1
"13040",1
"54005",1
"58015",1
"65022",1
"6027",1
"43007",1
"62012",1
"1047",1
"87011",1
"9017",1
"11008",1
"43006",1
"86005",1
"61009",1
"34007",1
"5012",1
"37008",1
"12026",1
"89004",1
"14009",1
"34006",1
"2016",1
"6020",1
"46004",1
"1030",1
"40004",1
"98004",1
"52003",1
"97011",1
"96004",1
"51005",1
"93007",1
"1036",1
"18024",1
"35006",1
"39004",1
"17029",1
"40003",1
"74001",1
"16040",1
"1035",1
"24015",1
"12017",1
"4029",1
"58013",1
"20007",1
"4027",1
"23012",1
"4028",1
"17024",1
"6021",1
"57008",1
"37006",1
"1027",1
"11004",1
"33005",1
"50001",1
"3018",1
"72011",1
"6017",1
"20004",1
"49001",1
"80009",1
"87008",1
"17017",1
"4016",1
"62008",1
"4019",1
"25006",1
"1016",1
"97008",1
"43004",1
"37004",1
"1015",1
"24012",1
"59002",1
"55007",1
"110002",1
"72006",1
"4012",1
"34002",1
"1022",1
"41004",1
"56004",1
"42004",1
"1021",1
"56003",1
"17010",1
"64009",1
"4009",1
"39002",1
"51003",1
"29004",1
"23005",1
"1014",1
"86003",1
"78005",1
"76007",1
"1013",1
"93004",1
"66006",1
"61005",1
"8005",1
"7003",1
"89001",1
"30007",1
"65011",1
"60011",1
"26003",1
"20002",1
"5005",1
"54001",1
"44007",1
"52002",1
"24008",1
"38001",1
"24007",1
"55005",1
"51002",1
"6009",1
"13012",1
"3008",1
"7004",1
"64005",1
"58117",1
"11002",1
"22006",1
"95006",1
"30004",1
"6001",1
"71004",1
"8002",1
"43003",1
"51001",1
"96002",1
"110001",1
"1010",1
"42002",1
"60006",1
"30003",1
"55004",1
"109002",1
"65006",1
"16008",1
"60004",1
"78009",1
"9005",1
"1008",1
"16007",1
"9001",1
"1001",1
"2004",1
"90003",1
"6003",1
"81001",1
"9004",1
"9002",1
"1004",1
"71002",1
"58003",1
"4003",1
"60003",1
"54043",1
"53011",1
"48027",1
"1081",1
"59008",1
"27029",1
"16171",1
"51038",1
"50029",1
"55001",1
"48052",1
"26083",1
"27042",1
"22064",1
"22123",1
"41026",1
"48052",1
"22229",1
"22248",1
"20015",1
"62067",1
"45002",1
"52026",1
"61022",1
"40033",1
"46022",1
"52032",1
"020001",1
"25023",1
"10041",1
"56001",1
"21086",1
"5121",1
"23001",1
"103013",1
"054023",1
"050040",1
"53026",1
"37037",1
"54037",1
"050040",1
"024051",1
"35040",1
"103072",1
"38028",1
"045002",1
"68033",1
"46017",1
"11020",1
"8031",1
"48038",1
"65037",1
"37007",1
"76007",1
"55032",1
"37020",1
"23027",1
"46007",1
"52037",1
"052037",1
"37008",1
"053011",1
"11020",1
"39013",1
"22230",1
"11027",1
"40020",1
"35045",1
"36019",1
"045016",1
"58003",1
"052034",1
"54054",1
"011013",1
"96088",1
"64068",1
"46028",1
"70068",1
"45002",1
"22098",1
"047006",1
"45016",1
"8039",1
"46007",1
"36046",1
"026057",1
"13118",1
"047018",1
"22006",1
"40004",1
"23027",1
"48041",1
"45012",1
"057003",1
"46002",1
"55022",1
"57023",1
"37051",1
"54027",1
"78070",1
"48010",1
"46017",1
"055032",1
"36030",1
"51021",1
"57070",1
"045012",1
"52025",1
"020066",1
"17034",1
"020057",1
"049006",1
"41002",1
"24012",1
"46018",1
"54027",1
"45001",1
"27042",1
"045006",1
"54040",1
"23006",1
"037053",1
"027042",1
"54009",1
"038027",1
"52033",1
"45016",1
"040004",1
"12039",1
"58105",1
"52018",1
"46002",1
"11020",1
"13189",1
"055005",1
"80079",1
"4205",1
"41071",1
"22231",1
"52009",1
"46018",1
"48041",1
"45008",1
"4199",1
"037032",1
"18016",1
"22248",1
"46004",1
"022246",1
"100005",1
"094038",1
"101013",1
"51042",1
"15146",1
"067046",1
"44001",1
"79146",1
"041043",1
"21008",1
"52007",1
"055032",1
"47007",1
"22022",1
"37062",1
"8055",1
"24085",1
"40043",1
"013136",1
"49006",1
"30019",1
"30019",1
"23091",1
"1199",1
"55005",1
"30085",1
"54009",1
"046034",1
"22230",1
"16139",1
"103062",1
"037038",1
"41070",1
"1254",1
"65127",1
"30013",1
"026092",1
"37006",1
"22230",1
"20061",1
"035014",1
"99024",1
"48010",1
"49021",1
"8038",1
"57021",1
"45004",1
"53014",1
"37020",1
"40046",1
"22029",1
"37006",1
"51040",1
"1254",1
"24080",1
"23092",1
"50031",1
"65073",1
"65072",1
"22233",1
"103021",1
"55030",1
"48027",1
"52034",1
"37039",1
"36030",1
"48054",1
"22037",1
"23039",1
"23042",1
"11027",1
"103072",1
"37057",1
"79133",1
"79139",1
"8068",1
"67018",1
"21076",1
"25019",1
"55030",1
"27042",1
"78029",1
"52034",1
"uncertain",1
"46017",1
"38004",1
"35033",1
"37040",1
"37013",1
"22232",1
"54009",1
"1118",1
"66070",1
"2009",1
"1191",1
"37008",1
"8021",1
"36030",1
"26092",1
"47009",1
"066049",1
"48012",1
"80063",1
"56059",1
"30052",1
"37061",1
"2156",1
"37008",1
"45008",1
"37006",1
"48017",1
"66022",1
"51040",1
"37006",1
"45007",1
"57069",1
"45007",1
"023052",1
"97030",1
"060003",1
"13250",1
"37006",1
"41051",1
"1024",1
"25074",1
"37027",1
"36032",1
"022249",1
"8031",1
"67023",1
"054018",1
"36047",1
"054021",1
"11002",1
"40032",1
"11013",1
"25019",1
"054018",1
"46018",1
"036019",1
"57027",1
"53020",1
"40032",1
"22234",1
"9025",1
"37033",1
"53008",1
"37062",1
"11015",1
"58112",1
"046017",1
"51012",1
"23007",1
"17067",1
"45007",1
"50040",1
"58019",1
"81003",1
"11018",1
"22062",1
"040031",1
"41015",1
"046017",1
"37061",1
"52025",1
"55004",1
"48030",1
"49008",1
"53018",1
"12142",1
"022238",1
"48014",1
"046017",1
"057059",1
"102014",1
"58047",1
"97060",1
"10055",1
"56048",1
"053007",1
"23074",1
"103028",1
"24047",1
"056026",1
"23078",1
"41015",1
"8068",1
"54009",1
"4207",1
